59 00000
23 0010b
02 0075d
c5 0115c
ce 013cf
8a 007d4
93 ff523
84 fe430
ac fd5e2
50 fcb7d
26 fca58
69 fdaac
00 ff894
1b 0138c
78 01d0b
3a 018a6
21 01722
0b 01e44
0f 02205
6f 019a8
c7 00fa1
50 00f87
2b 01267
80 010ea
e4 00e7b
5b 006b3
0d ff684
88 ff1f7
43 00073
3a 004c9
58 ffb24
ac ffef3
96 0112d
5c 013fa
85 ffec5
0a fee21
94 feeae
cc ff12a
fb fea5c
ec fe345
e7 fe477
87 fec79
81 ff333
9f fecad
82 fdb5e
2b fcc12
06 fc82a
25 fd381
c1 fea38
1d fff36
43 0045b
e2 fffc2
f5 00244
7f 008ca
4e 0083a
7b 009af
e1 01902
2f 029ab
73 028e6
26 01bb2
57 01694
30 01d96
34 023c5
e3 02267
